service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000001,0,0,0,0,0,0,0,20210309,20210608
000002,0,0,0,0,0,0,0,20210309,20210608
000003,0,0,0,0,0,0,0,20210309,20210608
000004,0,0,0,0,0,0,0,20210309,20210608
000005,0,0,0,0,0,0,0,20210309,20210608
000006,0,0,0,0,0,0,0,20210309,20210608
000007,0,0,0,0,0,0,0,20210309,20210608
000008,0,0,0,0,0,0,0,20210309,20210608
000009,0,0,0,0,0,0,0,20210309,20210608
000010,0,0,0,0,0,0,0,20210309,20210608
000011,0,0,0,0,0,0,0,20210309,20210608
000012,0,0,0,0,0,0,0,20210309,20210608
000013,0,0,0,0,0,0,0,20210309,20210608
000014,0,0,0,0,0,0,0,20210309,20210608
000015,0,0,0,0,0,0,0,20210309,20210608
000016,0,0,0,0,0,0,0,20210309,20210608
000017,0,0,0,0,0,0,0,20210309,20210608
000018,0,0,0,0,0,0,0,20210309,20210608
000019,0,0,0,0,0,0,0,20210309,20210608
000020,0,0,0,0,0,0,0,20210309,20210608
000021,0,0,0,0,0,0,0,20210309,20210608
000022,0,0,0,0,0,0,0,20210309,20210608
000023,0,0,0,0,0,0,0,20210309,20210608
000024,0,0,0,0,0,0,0,20210309,20210608
000025,0,0,0,0,0,0,0,20210309,20210608
000026,0,0,0,0,0,0,0,20210309,20210608
000027,0,0,0,0,0,0,0,20210309,20210608
000028,0,0,0,0,0,0,0,20210309,20210608
000029,0,0,0,0,0,0,0,20210309,20210608
000030,0,0,0,0,0,0,0,20210309,20210608
000031,0,0,0,0,0,0,0,20210309,20210608
000032,0,0,0,0,0,0,0,20210309,20210608
000033,0,0,0,0,0,0,0,20210309,20210608
000034,0,0,0,0,0,0,0,20210309,20210608
000035,0,0,0,0,0,0,0,20210309,20210608
000036,0,0,0,0,0,0,0,20210309,20210608
000037,0,0,0,0,0,0,0,20210309,20210608
000038,0,0,0,0,0,0,0,20210309,20210608
000039,0,0,0,0,0,0,0,20210309,20210608
000040,0,0,0,0,0,0,0,20210309,20210608
000041,0,0,0,0,0,0,0,20210309,20210608
000042,0,0,0,0,0,0,0,20210309,20210608
000043,0,0,0,0,0,0,0,20210309,20210608
000044,0,0,0,0,0,0,0,20210309,20210608
000045,0,0,0,0,0,0,0,20210309,20210608
000046,0,0,0,0,0,0,0,20210309,20210608
000047,0,0,0,0,0,0,0,20210309,20210608
000048,0,0,0,0,0,0,0,20210309,20210608
000049,0,0,0,0,0,0,0,20210309,20210608
000050,0,0,0,0,0,0,0,20210309,20210608
000051,0,0,0,0,0,0,0,20210309,20210608
000052,0,0,0,0,0,0,0,20210309,20210608
000053,0,0,0,0,0,0,0,20210309,20210608
000054,0,0,0,0,0,0,0,20210309,20210608
000055,0,0,0,0,0,0,0,20210309,20210608
000056,0,0,0,0,0,0,0,20210309,20210608
000057,0,0,0,0,0,0,0,20210309,20210608
000058,0,0,0,0,0,0,0,20210309,20210608
000059,0,0,0,0,0,0,0,20210309,20210608
000060,0,0,0,0,0,0,0,20210309,20210608
000061,0,0,0,0,0,0,0,20210309,20210608
000062,0,0,0,0,0,0,0,20210309,20210608
000063,0,0,0,0,0,0,0,20210309,20210608
000064,0,0,0,0,0,0,0,20210309,20210608
000065,0,0,0,0,0,0,0,20210309,20210608
000066,0,0,0,0,0,0,0,20210309,20210608
000067,0,0,0,0,0,0,0,20210309,20210608
000068,0,0,0,0,0,0,0,20210309,20210608
000069,0,0,0,0,0,0,0,20210309,20210608
000070,0,0,0,0,0,0,0,20210309,20210608
000071,0,0,0,0,0,0,0,20210309,20210608
000072,0,0,0,0,0,0,0,20210309,20210608
000073,0,0,0,0,0,0,0,20210309,20210608
